logM   logPhi  lower    upper
12.0   -6.490  -0.200   0.300
11.9   -5.870  -0.100   0.100
11.8   -5.255  -0.053   0.060 
11.7   -4.778  -0.031   0.033 
11.6   -4.363  -0.019   0.020 
11.5   -3.953  -0.012   0.020 
11.4   -3.606  -0.008   0.008 
11.3   -3.332  -0.006   0.006 
11.2   -3.104  -0.005   0.005 
11.1   -2.888  -0.004   0.004 
11.0   -2.728  -0.004   0.004 
10.9   -2.607  -0.004   0.004 
10.8   -2.504  -0.004   0.004 
10.7   -2.419  -0.004   0.004 
10.6   -2.365  -0.004   0.004 
10.5   -2.317  -0.005   0.004 
10.4   -2.285  -0.005   0.005 
10.3   -2.252  -0.006   0.006 
10.1   -2.235  -0.007   0.007 
10.0   -2.234  -0.008   0.008 
9.9    -2.216  -0.009   0.008 
9.8    -2.188  -0.010   0.010 
9.7    -2.179  -0.012   0.012 
9.6    -2.144  -0.012   0.012 
9.5    -2.106  -0.012   0.012 
9.4    -2.055  -0.013   0.014 
9.3    -2.031  -0.014   0.015 
9.2    -1.970  -0.015   0.015 
9.1    -1.923  -0.016   0.017 
9.0    -1.899  -0.017   0.017
