x	y
6.990	-1.077
7.081	-1.091
7.218	-1.113
7.366	-1.136
7.571	-1.181
7.834	-1.236
8.060	-1.290
8.313	-1.358
8.507	-1.422
8.700	-1.488
8.905	-1.532
9.112	-1.598
9.329	-1.664
9.534	-1.774
9.784	-1.918
9.997	-2.038
10.187	-2.148
10.379	-2.269
10.540	-2.380
10.690	-2.469
10.862	-2.568
10.999	-2.722
11.158	-2.883
11.295	-3.046
11.409	-3.187
11.535	-3.329
11.658	-3.505
11.772	-3.638
11.840	-3.780
11.932	-3.924
12.023	-4.076
12.092	-4.230
12.171	-4.384
12.249	-4.536
12.341	-4.723
12.401	-4.893
12.446	-5.015
